iter	Passed	Remaining
165	473	2377
166	475	2370
167	478	2367
168	480	2361
169	482	2356
170	484	2349
171	486	2343
172	489	2337
173	491	2333
174	493	2327
175	495	2322
176	498	2315
177	500	2310
178	502	2304
179	505	2301
180	507	2295
181	509	2290
182	511	2283
183	513	2277
184	516	2276
185	518	2271
186	521	2265
187	523	2259
188	525	2254
189	527	2249
190	529	2243
191	531	2238
192	534	2233
193	535	2226
194	538	2221
195	540	2215
196	542	2210
197	543	2203
198	546	2200
199	548	2193
200	550	2187
201	552	2181
202	554	2176
203	556	2170
204	558	2164
205	560	2158
206	562	2154
207	564	2149
208	566	2144
209	568	2139
210	570	2133
211	572	2127
212	574	2123
213	576	2118
214	578	2113
215	580	2107
216	582	2103
217	585	2098
218	586	2092
219	589	2088
220	591	2084
221	593	2080
222	595	2075
223	597	2070
224	599	2066
225	601	2060
226	604	2057
227	606	2052
228	608	2048
229	610	2043
230	612	2039
231	615	2036
232	617	2031
233	619	2026
234	621	2022
235	623	2018
236	625	2014
237	627	2009
238	629	2003
239	631	1999
240	633	1995
241	635	1990
242	637	1986
243	640	1983
244	642	1978
245	644	1974
246	646	1970
247	648	1966
248	650	1963
249	652	1958
250	655	1955
251	657	1950
252	659	1946
253	661	1943
254	664	1940
255	666	1936
256	668	1931
257	670	1927
258	672	1924
259	674	1920
260	676	1916
261	678	1912
262	681	1909
263	683	1905
264	685	1902
265	687	1898
266	689	1893
267	691	1889
268	693	1885
269	695	1881
270	697	1877
271	700	1873
272	702	1870
273	704	1865
274	705	1861
275	708	1859
276	711	1856
277	713	1853
278	715	1848
279	717	1844
280	719	1840
281	721	1836
282	723	1833
283	725	1830
284	727	1826
285	729	1822
286	731	1818
287	734	1814
288	736	1812
289	738	1808
290	740	1804
291	742	1801
292	744	1797
293	746	1793
294	749	1791
295	751	1786
296	753	1783
297	755	1779
298	757	1776
299	759	1772
300	761	1769
301	763	1765
302	766	1762
303	768	1759
304	770	1755
305	772	1751
306	774	1747
307	776	1744
308	778	1740
309	780	1737
310	782	1734
311	784	1730
312	786	1726
313	788	1722
314	790	1718
315	792	1714
316	794	1711
317	796	1707
318	798	1705
319	800	1701
320	803	1698
321	805	1695
322	807	1692
323	809	1689
324	812	1687
325	814	1684
326	816	1680
327	818	1676
328	820	1673
329	822	1669
330	824	1666
331	826	1663
332	829	1660
333	831	1657
334	832	1653
335	834	1649
336	836	1646
337	838	1643
338	841	1640
339	843	1636
340	845	1633
341	847	1629
342	849	1626
343	851	1623
344	853	1620
345	855	1616
346	857	1613
347	859	1610
348	861	1607
349	863	1603
350	865	1599
351	867	1596
352	869	1593
353	871	1589
354	873	1586
355	875	1584
356	877	1580
357	879	1577
358	881	1574
359	885	1573
360	887	1570
361	889	1567
362	891	1564
363	893	1561
364	895	1557
365	897	1554
366	899	1552
367	901	1548
368	904	1546
369	906	1542
370	908	1540
371	910	1537
372	912	1534
373	914	1531
374	917	1528
375	919	1525
376	921	1522
377	923	1519
378	925	1516
379	927	1513
380	929	1510
381	931	1507
382	934	1504
383	935	1501
384	938	1498
385	940	1495
386	942	1493
387	944	1490
388	946	1487
389	949	1485
390	951	1482
391	953	1479
392	956	1476
393	958	1473
394	960	1470
395	962	1468
396	964	1465
397	967	1462
398	969	1459
399	971	1456
400	973	1454
401	976	1451
402	978	1449
403	980	1445
404	982	1443
405	984	1440
406	988	1439
407	990	1436
408	992	1433
409	994	1430
410	996	1428
411	998	1425
412	1000	1422
413	1002	1419
414	1005	1416
415	1007	1414
416	1009	1411
417	1011	1408
418	1013	1405
419	1016	1403
420	1018	1400
421	1020	1397
422	1022	1394
423	1024	1391
424	1026	1389
425	1028	1386
426	1030	1383
427	1032	1379
428	1034	1376
429	1036	1374
430	1038	1371
431	1040	1368
432	1043	1365
433	1045	1363
434	1047	1360
435	1049	1357
436	1051	1354
437	1053	1351
438	1055	1349
439	1057	1346
440	1060	1343
441	1062	1341
442	1064	1338
443	1066	1335
444	1068	1332
445	1070	1329
446	1072	1326
447	1075	1325
448	1077	1322
449	1079	1319
450	1081	1316
451	1082	1312
452	1085	1310
453	1087	1307
454	1089	1304
455	1091	1302
456	1093	1299
457	1095	1296
458	1097	1293
459	1099	1290
460	1101	1287
461	1103	1284
462	1106	1283
463	1109	1281
464	1111	1278
465	1113	1275
466	1115	1273
467	1117	1270
468	1119	1267
469	1122	1266
470	1124	1263
471	1126	1260
472	1128	1257
473	1130	1254
474	1132	1251
475	1134	1249
476	1137	1246
477	1139	1243
478	1141	1241
479	1143	1238
480	1145	1235
481	1147	1232
482	1149	1229
483	1151	1227
484	1153	1225
485	1155	1222
486	1157	1219
487	1159	1216
488	1161	1213
489	1163	1211
490	1165	1208
491	1167	1205
492	1169	1203
493	1171	1200
494	1173	1197
495	1176	1195
496	1178	1192
497	1181	1191
498	1183	1188
499	1185	1185
500	1187	1182
501	1189	1180
502	1191	1177
503	1194	1175
504	1196	1172
505	1198	1170
506	1200	1167
507	1202	1164
508	1204	1162
509	1206	1159
510	1208	1156
511	1210	1154
512	1212	1151
513	1214	1148
514	1216	1145
515	1218	1143
516	1220	1140
517	1222	1137
518	1224	1134
519	1226	1132
520	1228	1129
521	1230	1127
522	1232	1124
523	1234	1121
524	1237	1119
525	1239	1116
526	1240	1113
527	1243	1111
528	1245	1108
529	1247	1105
530	1249	1103
531	1251	1101
532	1254	1098
533	1256	1096
534	1258	1093
535	1259	1090
536	1261	1088
537	1264	1085
538	1266	1082
539	1268	1080
540	1270	1078
541	1273	1075
542	1275	1073
543	1277	1070
544	1279	1068
545	1281	1065
546	1283	1063
547	1285	1060
548	1287	1057
549	1290	1055
550	1292	1053
551	1294	1050
552	1297	1048
553	1299	1046
554	1301	1043
555	1303	1040
556	1305	1038
557	1307	1035
558	1310	1033
559	1312	1030
560	1314	1028
561	1316	1026
562	1318	1023
563	1320	1020
564	1322	1018
565	1324	1015
566	1326	1013
567	1329	1010
568	1330	1008
569	1333	1005
570	1335	1003
571	1337	1000
572	1339	998
573	1341	995
574	1343	993
575	1346	991
576	1348	988
577	1350	986
578	1352	983
579	1354	981
580	1357	978
581	1359	976
582	1360	973
583	1362	970
584	1364	968
585	1366	965
586	1368	963
587	1371	960
588	1373	958
589	1375	955
590	1377	953
591	1379	950
592	1381	948
593	1384	946
594	1387	944
595	1389	941
596	1391	939
597	1393	936
598	1395	934
599	1397	931
600	1399	929
601	1402	926
602	1404	924
603	1406	921
604	1408	919
605	1410	917
606	1412	914
607	1414	911
608	1416	909
609	1418	907
610	1420	904
611	1423	902
612	1425	899
613	1428	897
614	1430	895
615	1433	893
616	1435	890
617	1437	888
618	1439	885
619	1441	883
620	1444	881
621	1446	878
622	1448	876
623	1450	874
624	1452	871
625	1454	869
626	1457	867
627	1459	864
628	1462	862
629	1464	859
630	1466	857
631	1468	855
632	1471	852
633	1473	850
634	1475	847
635	1477	845
636	1479	843
637	1482	840
638	1484	838
639	1486	836
640	1488	833
641	1490	831
642	1492	828
643	1494	826
644	1496	823
645	1498	820
646	1499	818
647	1502	815
648	1503	813
649	1506	811
650	1508	808
651	1510	806
652	1512	803
653	1515	801
654	1517	799
655	1520	797
656	1522	794
657	1525	792
658	1527	790
659	1530	788
660	1532	786
661	1534	783
662	1538	782
663	1540	779
664	1543	777
665	1547	775
666	1549	773
667	1552	771
668	1555	769
669	1557	767
670	1561	765
671	1563	763
672	1567	761
673	1569	759
674	1572	757
675	1575	755
676	1578	753
677	1582	751
678	1584	749
679	1586	746
680	1589	744
681	1592	742
682	1594	740
683	1596	737
684	1598	735
685	1600	732
686	1602	730
687	1604	727
688	1606	725
689	1608	722
690	1610	720
691	1613	718
692	1616	715
693	1618	713
694	1620	711
695	1623	709
696	1625	706
697	1632	706
698	1634	703
699	1637	701
700	1639	699
701	1641	696
702	1643	694
703	1646	692
704	1648	689
705	1653	688
706	1655	686
707	1657	683
708	1660	681
709	1662	678
710	1666	677
711	1668	675
712	1672	673
713	1674	670
714	1677	668
715	1680	666
716	1682	664
717	1684	661
718	1686	659
719	1688	656
720	1690	654
721	1692	651
722	1695	649
723	1697	647
724	1699	644
725	1702	642
726	1704	639
727	1707	637
728	1709	635
729	1711	633
730	1714	630
731	1716	628
732	1718	625
733	1720	623
734	1722	621
735	1725	618
736	1728	616
737	1730	614
738	1732	611
739	1734	609
740	1737	607
741	1739	604
742	1741	602
743	1743	600
744	1746	597
745	1748	595
746	1750	592
747	1752	590
748	1754	588
749	1756	585
750	1758	583
751	1760	580
752	1762	578
753	1765	575
754	1768	573
755	1770	571
756	1772	569
757	1774	566
758	1777	564
759	1779	561
760	1782	559
761	1784	557
762	1786	554
763	1788	552
764	1790	550
765	1792	547
766	1795	545
767	1797	542
768	1799	540
769	1801	538
770	1803	535
771	1806	533
772	1808	531
773	1810	528
774	1813	526
775	1815	523
776	1817	521
777	1820	519
778	1822	517
779	1824	514
780	1827	512
781	1829	510
782	1831	507
783	1833	505
784	1835	502
785	1838	500
786	1840	498
787	1842	495
788	1844	493
789	1846	490
790	1848	488
791	1850	486
792	1852	483
793	1854	481
794	1856	478
795	1859	476
796	1861	474
797	1863	471
798	1865	469
799	1868	467
800	1870	464
801	1872	462
802	1874	459
803	1876	457
804	1878	455
805	1880	452
806	1883	450
807	1885	448
808	1888	445
809	1890	443
810	1892	441
811	1894	438
812	1896	436
813	1899	433
814	1901	431
815	1903	429
816	1905	426
817	1907	424
818	1909	421
819	1911	419
820	1913	417
821	1915	414
822	1917	412
823	1919	409
824	1921	407
825	1923	405
826	1925	402
827	1927	400
828	1930	398
829	1933	395
830	1935	393
831	1936	391
832	1939	388
833	1941	386
834	1945	384
835	1947	382
836	1949	379
837	1951	377
838	1953	374
839	1955	372
840	1957	370
841	1959	367
842	1961	365
843	1963	363
844	1966	360
845	1968	358
846	1970	355
847	1972	353
848	1974	351
849	1976	348
850	1978	346
851	1981	344
852	1983	341
853	1985	339
854	1987	337
855	1989	334
856	1991	332
857	1993	329
858	1995	327
859	1997	325
860	2000	322
861	2002	320
862	2004	318
863	2006	315
864	2008	313
865	2010	311
866	2013	308
867	2015	306
868	2017	304
869	2020	301
870	2022	299
871	2024	297
872	2026	294
873	2028	292
874	2030	290
875	2033	287
876	2035	285
877	2037	283
878	2039	280
879	2041	278
880	2043	275
881	2045	273
882	2048	271
883	2050	269
884	2052	266
885	2054	264
886	2056	261
887	2058	259
888	2060	257
889	2062	254
890	2065	252
891	2066	250
892	2068	247
893	2070	245
894	2072	243
895	2074	240
896	2077	238
897	2078	236
898	2081	233
899	2083	231
900	2085	229
901	2087	226
902	2089	224
903	2091	222
904	2092	219
905	2095	217
906	2097	215
907	2099	212
908	2101	210
909	2103	208
910	2105	205
911	2107	203
912	2109	201
913	2111	198
914	2113	196
915	2115	194
916	2117	191
917	2121	189
918	2123	187
919	2125	184
920	2127	182
921	2129	180
922	2131	177
923	2133	175
924	2135	173
925	2138	170
926	2140	168
927	2142	166
928	2144	163
929	2146	161
930	2149	159
931	2151	156
932	2153	154
933	2155	152
934	2157	149
935	2159	147
936	2161	145
937	2163	143
938	2165	140
939	2167	138
940	2170	136
941	2172	133
942	2174	131
943	2176	129
944	2178	126
945	2180	124
946	2183	122
947	2185	119
948	2187	117
949	2189	115
950	2191	112
951	2193	110
952	2195	108
953	2197	105
954	2199	103
955	2201	101
956	2203	99
957	2205	96
958	2207	94
959	2210	92
960	2212	89
961	2214	87
962	2216	85
963	2218	82
964	2220	80
965	2222	78
966	2224	75
967	2227	73
968	2229	71
969	2231	69
970	2233	66
971	2235	64
972	2237	62
973	2239	59
974	2242	57
975	2244	55
976	2246	52
977	2248	50
978	2250	48
979	2252	45
980	2254	43
981	2257	41
982	2259	39
983	2261	36
984	2263	34
985	2265	32
986	2267	29
987	2269	27
988	2271	25
989	2273	22
990	2275	20
991	2277	18
992	2279	16
993	2281	13
994	2283	11
995	2286	9
996	2288	6
997	2290	4
998	2292	2
999	2295	0
